id,sender_trial_order,interpreter_trial_order,practice,sender,interpreter,n_tokens,show_tokens,n_axes,show_axes,show_imprints,n_bananas,n_scorpions,box0_content,box1_content,box2_content,box0_open_to_sender,box1_open_to_sender,box2_open_to_sender,box0_open_to_interpreter,box1_open_to_interpreter,box2_open_to_interpreter,imprint0,imprint1,imprint2,token0_x_coord,token0_y_coord,token0_z_coord,token1_x_coord,token1_y_coord,token1_z_coord,token2_x_coord,token2_y_coord,token2_z_coord,token0_box,token1_box,token2_box,axe0_box,axe1_box,axe2_box,response_time_sender,response_time_interpreter,sender_started,interpreter_started,sender_abandoned,interpreter_abandoned,sender_completed,interpreter_completed
6096,1,8,0,016,029,2,1,1,1,0,2,1,scorpion,banana,banana,1,1,1,0,0,0,scorpion,banana,banana,-150.0,130.0,-259.807621135331,-150.0,130.0,259.807621135332,,,,0,1,,1,,,50059,6611,2015-06-15 14:54:09.417408,2015-06-18 14:56:24.854995,0,0,2015-06-15 14:55:05.735349,2015-06-18 14:56:36.895324
6189,30,27,0,015,033,1,1,1,1,1,2,1,scorpion,banana,banana,1,1,1,0,0,0,banana,banana,scorpion,-150.0,130.0,259.807621135332,,,,,,,0,,,1,,,10370,7929,2015-06-15 15:02:28.589118,2015-06-18 15:00:24.415650,0,0,2015-06-15 15:02:43.977827,2015-06-18 15:00:38.029232
6032,1,11,0,005,024,1,1,1,1,0,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,scorpion,scorpion,banana,-150.0,130.0,-259.807621135331,,,,,,,1,,,1,,,10452,3690,2015-06-15 14:54:08.651687,2015-06-18 14:56:21.832236,0,0,2015-06-15 14:54:24.976243,2015-06-18 14:56:30.726458
6190,31,18,0,015,022,2,1,2,1,0,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,banana,scorpion,scorpion,-150.0,130.0,-259.807621135331,540.0,10.0,400.0,,,,1,,,1,,,4549,3157,2015-06-15 15:02:48.188111,2015-06-18 14:57:49.551329,0,0,2015-06-15 15:02:57.928203,2015-06-18 14:57:57.781430
6123,28,21,0,016,021,2,1,1,1,0,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,scorpion,banana,scorpion,-150.0,130.0,-259.807621135331,540.0,10.0,400.0,,,,1,,,1,,,3370,3534,2015-06-15 15:02:02.501488,2015-06-18 14:58:55.936255,0,0,2015-06-15 15:02:11.190448,2015-06-18 14:59:05.026511
6122,27,23,0,016,024,1,1,1,1,0,2,1,banana,scorpion,banana,1,1,1,0,0,0,scorpion,banana,banana,-150.0,130.0,259.807621135332,,,,,,,0,,,0,,,2674,4035,2015-06-15 15:01:49.366140,2015-06-18 14:59:12.975631,0,0,2015-06-15 15:01:58.101905,2015-06-18 14:59:22.473086
6192,33,34,0,015,029,1,1,2,1,1,2,1,banana,banana,scorpion,1,1,1,0,0,0,scorpion,banana,banana,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,2,,,2624,4563,2015-06-15 15:03:14.737539,2015-06-18 15:02:25.139773,0,0,2015-06-15 15:03:22.713350,2015-06-18 15:02:34.972660
6127,32,26,0,016,030,2,1,2,1,0,1,2,scorpion,scorpion,banana,1,1,1,0,0,0,banana,scorpion,scorpion,300.0,130.0,-7.34788079488412e-14,540.0,10.0,400.0,,,,2,,,2,,,9621,3421,2015-06-15 15:03:01.949031,2015-06-18 15:00:20.411522,0,0,2015-06-15 15:03:16.840183,2015-06-18 15:00:29.187163
6126,31,27,0,016,034,2,1,2,1,1,2,1,banana,banana,scorpion,1,1,1,0,0,0,banana,scorpion,banana,-150.0,130.0,259.807621135332,-150.0,130.0,-259.807621135331,,,,0,1,,0,1,,4433,5614,2015-06-15 15:02:47.603089,2015-06-18 15:00:50.476354,0,0,2015-06-15 15:02:57.807380,2015-06-18 15:01:01.531866
6120,25,31,0,016,024,2,1,1,1,0,2,1,banana,banana,scorpion,1,1,1,0,0,0,scorpion,banana,banana,-150.0,130.0,259.807621135332,540.0,10.0,400.0,,,,0,,,0,,,6559,2852,2015-06-15 15:01:10.204717,2015-06-18 15:01:08.149034,0,0,2015-06-15 15:01:22.886272,2015-06-18 15:01:16.489690
6119,24,29,0,016,029,1,1,2,1,1,1,2,banana,scorpion,scorpion,1,1,1,0,0,0,scorpion,banana,scorpion,-150.0,130.0,259.807621135332,,,,,,,0,,,0,,,2267,2283,2015-06-15 15:00:58.601320,2015-06-18 15:01:23.647046,0,0,2015-06-15 15:01:06.084058,2015-06-18 15:01:31.163846
6124,29,31,0,016,028,2,1,1,1,1,2,1,banana,scorpion,banana,1,1,1,0,0,0,scorpion,banana,banana,-150.0,130.0,259.807621135332,300.0,130.0,-7.34788079488412e-14,,,,0,2,,2,,,7612,5575,2015-06-15 15:02:15.534916,2015-06-18 15:01:31.459953,0,0,2015-06-15 15:02:28.867490,2015-06-18 15:01:42.634736
6193,34,39,0,015,036,1,1,1,1,0,2,1,banana,scorpion,banana,1,1,1,0,0,0,banana,scorpion,banana,-150.0,130.0,259.807621135332,,,,,,,0,,,0,,,4280,4364,2015-06-15 15:03:26.931644,2015-06-18 15:04:18.151296,0,0,2015-06-15 15:03:36.294428,2015-06-18 15:04:28.476525
6195,36,35,0,015,021,1,1,1,1,0,1,2,scorpion,scorpion,banana,1,1,1,0,0,0,scorpion,scorpion,banana,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,2,,,2731,9034,2015-06-15 15:03:54.804002,2015-06-18 15:02:07.699115,0,0,2015-06-15 15:04:02.614227,2015-06-18 15:02:22.185745
6138,43,38,0,016,021,2,1,1,1,1,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,scorpion,scorpion,banana,300.0,130.0,-7.34788079488412e-14,-150.0,130.0,259.807621135332,,,,2,0,,1,,,4177,3301,2015-06-15 15:05:45.639980,2015-06-18 15:02:55.818496,0,0,2015-06-15 15:05:55.309170,2015-06-18 15:03:04.240533
6139,44,36,0,016,024,1,1,2,1,1,2,1,banana,banana,scorpion,1,1,1,0,0,0,scorpion,banana,banana,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,0,,,3259,3770,2015-06-15 15:05:59.418706,2015-06-18 15:02:19.182541,0,0,2015-06-15 15:06:08.034905,2015-06-18 15:02:28.692627
6136,41,39,0,016,028,1,1,1,1,1,1,2,scorpion,scorpion,banana,1,1,1,0,0,0,scorpion,banana,scorpion,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,2,,,4339,2554,2015-06-15 15:05:19.497649,2015-06-18 15:03:28.889137,0,0,2015-06-15 15:05:29.215121,2015-06-18 15:03:37.087415
6141,46,44,0,016,026,1,1,1,1,0,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,banana,scorpion,scorpion,-150.0,130.0,-259.807621135331,,,,,,,1,,,1,,,2633,4511,2015-06-15 15:06:26.255124,2015-06-18 15:06:37.531612,0,0,2015-06-15 15:06:34.201992,2015-06-18 15:06:47.541876
6137,42,38,0,016,031,1,1,2,1,0,2,1,scorpion,banana,banana,1,1,1,0,0,0,scorpion,banana,banana,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,2,,,2402,3543,2015-06-15 15:05:33.377631,2015-06-18 15:03:41.659708,0,0,2015-06-15 15:05:41.477306,2015-06-18 15:03:50.739797
