id,sender_trial_order,interpreter_trial_order,practice,sender,interpreter,n_tokens,show_tokens,n_axes,show_axes,show_imprints,n_bananas,n_scorpions,box0_content,box1_content,box2_content,box0_open_to_sender,box1_open_to_sender,box2_open_to_sender,box0_open_to_interpreter,box1_open_to_interpreter,box2_open_to_interpreter,imprint0,imprint1,imprint2,token0_x_coord,token0_y_coord,token0_z_coord,token1_x_coord,token1_y_coord,token1_z_coord,token2_x_coord,token2_y_coord,token2_z_coord,token0_box,token1_box,token2_box,axe0_box,axe1_box,axe2_box,response_time_sender,response_time_interpreter,sender_started,interpreter_started,sender_abandoned,interpreter_abandoned,sender_completed,interpreter_completed
6276,53,55,0,012,029,1,1,1,1,0,2,1,scorpion,banana,banana,1,1,1,0,0,0,banana,banana,scorpion,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,,,,4223,,2015-06-15 15:07:39.143746,,0,0,2015-06-15 15:07:49.227778,
5393,2,9,0,002,029,1,1,2,1,1,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,scorpion,scorpion,banana,-150.0,130.0,-259.807621135331,,,,,,,1,,,,,,3180,,2015-06-15 14:54:19.376642,,0,0,2015-06-15 14:54:27.327452,
5395,4,12,0,002,026,2,1,2,1,0,1,2,scorpion,scorpion,banana,1,1,1,0,0,0,banana,scorpion,scorpion,300.0,130.0,-7.34788079488412e-14,540.0,10.0,400.0,,,,2,,,,,,2601,,2015-06-15 14:54:49.827138,,0,0,2015-06-15 14:54:57.430280,
5396,5,14,0,002,029,2,1,2,1,0,2,1,scorpion,banana,banana,1,1,1,0,0,0,banana,banana,scorpion,300.0,130.0,-7.34788079488412e-14,-150.0,130.0,-259.807621135331,,,,2,1,,,,,6003,,2015-06-15 14:55:01.554802,,0,0,2015-06-15 14:55:13.140591,
5398,7,3,0,002,033,1,1,1,1,0,2,1,scorpion,banana,banana,1,1,1,0,0,0,banana,banana,scorpion,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,,,,3017,,2015-06-15 14:55:32.676202,,0,0,2015-06-15 14:55:41.185097,
5399,8,5,0,002,034,2,1,2,1,1,2,1,scorpion,banana,banana,1,1,1,0,0,0,scorpion,banana,banana,300.0,130.0,-7.34788079488412e-14,-150.0,130.0,-259.807621135331,,,,1,2,,,,,12321,,2015-06-15 14:55:45.319879,,0,0,2015-06-15 14:56:02.663208,
5401,10,12,0,002,036,1,1,2,1,0,2,1,banana,banana,scorpion,1,1,1,0,0,0,banana,banana,scorpion,-150.0,130.0,259.807621135332,,,,,,,0,,,,,,11532,,2015-06-15 14:56:20.252872,,0,0,2015-06-15 14:56:36.954532,
5402,11,13,0,002,027,2,1,1,1,1,1,2,banana,scorpion,scorpion,1,1,1,0,0,0,banana,scorpion,scorpion,-150.0,130.0,259.807621135332,540.0,10.0,400.0,,,,0,,,,,,3467,,2015-06-15 14:56:41.113117,,0,0,2015-06-15 14:56:49.602762,
5403,12,4,0,002,032,1,1,2,1,1,2,1,banana,banana,scorpion,1,1,1,0,0,0,banana,scorpion,banana,-150.0,130.0,259.807621135332,,,,,,,0,,,,,,2987,,2015-06-15 14:56:53.733672,,0,0,2015-06-15 14:57:01.660605,
5405,14,11,0,002,024,1,1,1,1,0,1,2,banana,scorpion,scorpion,1,1,1,0,0,0,banana,scorpion,scorpion,-150.0,130.0,259.807621135332,,,,,,,0,,,,,,5566,,2015-06-15 14:57:18.213524,,0,0,2015-06-15 14:57:28.795925,
5406,15,2,0,002,035,2,1,1,1,0,2,1,banana,banana,scorpion,1,1,1,0,0,0,banana,banana,scorpion,-150.0,130.0,-259.807621135331,-150.0,130.0,259.807621135332,,,,1,0,,,,,4697,,2015-06-15 14:57:32.950190,,0,0,2015-06-15 14:57:43.239065,
5407,16,12,0,002,030,2,1,1,1,1,2,1,banana,scorpion,banana,1,1,1,0,0,0,banana,scorpion,banana,300.0,130.0,-7.34788079488412e-14,-150.0,130.0,259.807621135332,,,,2,0,,,,,6270,,2015-06-15 14:57:47.359173,,0,0,2015-06-15 14:57:58.543054,
5409,18,31,0,002,035,2,1,2,1,0,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,scorpion,scorpion,banana,-150.0,130.0,-259.807621135331,540.0,10.0,400.0,,,,1,,,,,,7010,,2015-06-15 14:58:15.172147,,0,0,2015-06-15 14:58:27.102378,
5410,19,23,0,002,036,1,1,1,1,1,2,1,banana,scorpion,banana,1,1,1,0,0,0,banana,scorpion,banana,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,,,,4371,,2015-06-15 14:58:31.226747,,0,0,2015-06-15 14:58:40.936377,
5412,21,20,0,002,025,1,1,2,1,0,2,1,scorpion,banana,banana,1,1,1,0,0,0,banana,banana,scorpion,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,,,,2887,,2015-06-15 14:58:58.395029,,0,0,2015-06-15 14:59:06.913359,
5413,22,26,0,002,029,1,1,2,1,1,2,1,banana,scorpion,banana,1,1,1,0,0,0,scorpion,banana,banana,-150.0,130.0,259.807621135332,,,,,,,0,,,,,,3108,,2015-06-15 14:59:11.056483,,0,0,2015-06-15 14:59:19.192050,
5414,23,19,0,002,033,1,1,1,1,0,1,2,scorpion,scorpion,banana,1,1,1,0,0,0,scorpion,banana,scorpion,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,,,,3207,,2015-06-15 14:59:23.340927,,0,0,2015-06-15 14:59:31.833813,
5416,25,23,0,002,031,1,1,2,1,0,1,2,banana,scorpion,scorpion,1,1,1,0,0,0,scorpion,banana,scorpion,-150.0,130.0,259.807621135332,,,,,,,0,,,,,,4022,,2015-06-15 14:59:49.822775,,0,0,2015-06-15 14:59:59.164165,
5417,26,20,0,002,031,2,1,1,1,0,1,2,scorpion,scorpion,banana,1,1,1,0,0,0,scorpion,banana,scorpion,300.0,130.0,-7.34788079488412e-14,540.0,10.0,400.0,,,,2,,,,,,2569,,2015-06-15 15:00:03.292210,,0,0,2015-06-15 15:00:10.804705,
5418,27,26,0,002,028,2,1,2,1,0,2,1,scorpion,banana,banana,1,1,1,0,0,0,banana,banana,scorpion,300.0,130.0,-7.34788079488412e-14,-150.0,130.0,-259.807621135331,,,,2,1,,,,,6671,,2015-06-15 15:00:15.067100,,0,0,2015-06-15 15:00:27.365022,
5420,29,26,0,002,032,1,1,1,1,1,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,scorpion,scorpion,banana,-150.0,130.0,-259.807621135331,,,,,,,1,,,,,,3049,,2015-06-15 15:00:43.808712,,0,0,2015-06-15 15:00:51.667040,
5421,30,25,0,002,031,2,1,1,1,1,1,2,banana,scorpion,scorpion,1,1,1,0,0,0,banana,scorpion,scorpion,-150.0,130.0,259.807621135332,540.0,10.0,400.0,,,,0,,,,,,5791,,2015-06-15 15:00:56.015356,,0,0,2015-06-15 15:01:06.386963,
5423,32,28,0,002,030,2,1,1,1,0,2,1,scorpion,banana,banana,1,1,1,0,0,0,scorpion,banana,banana,300.0,130.0,-7.34788079488412e-14,-150.0,130.0,-259.807621135331,,,,2,1,,,,,13092,,2015-06-15 15:01:23.248545,,0,0,2015-06-15 15:01:41.453030,
5424,33,46,0,002,026,2,1,2,1,0,2,1,banana,banana,scorpion,1,1,1,0,0,0,scorpion,banana,banana,-150.0,130.0,-259.807621135331,-150.0,130.0,259.807621135332,,,,1,0,,,,,6030,,2015-06-15 15:01:45.593802,,0,0,2015-06-15 15:01:56.846643,
5425,34,39,0,002,021,1,1,2,1,0,2,1,banana,scorpion,banana,1,1,1,0,0,0,banana,banana,scorpion,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,,,,11916,,2015-06-15 15:02:00.974288,,0,0,2015-06-15 15:02:18.076057,
5427,36,43,0,002,023,2,1,1,1,0,1,2,banana,scorpion,scorpion,1,1,1,0,0,0,banana,scorpion,scorpion,-150.0,130.0,259.807621135332,540.0,10.0,400.0,,,,0,,,,,,7943,,2015-06-15 15:02:41.388725,,0,0,2015-06-15 15:02:54.306289,
5428,37,47,0,002,031,2,1,2,1,1,2,1,banana,banana,scorpion,1,1,1,0,0,0,scorpion,banana,banana,-150.0,130.0,259.807621135332,-150.0,130.0,-259.807621135331,,,,0,1,,,,,8642,,2015-06-15 15:02:58.462022,,0,0,2015-06-15 15:03:12.425711,
5430,39,46,0,002,028,1,1,2,1,0,1,2,banana,scorpion,scorpion,1,1,1,0,0,0,banana,scorpion,scorpion,-150.0,130.0,259.807621135332,,,,,,,0,,,,,,2958,,2015-06-15 15:03:38.211143,,0,0,2015-06-15 15:03:46.420658,
5431,40,36,0,002,032,1,1,1,1,1,2,1,scorpion,banana,banana,1,1,1,0,0,0,banana,banana,scorpion,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,,,,8609,,2015-06-15 15:03:50.532265,,0,0,2015-06-15 15:04:04.048272,
5432,41,39,0,002,026,2,1,1,1,1,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,scorpion,banana,scorpion,-150.0,130.0,-259.807621135331,540.0,10.0,400.0,,,,1,,,,,,5591,,2015-06-15 15:04:08.185746,,0,0,2015-06-15 15:04:18.792598,
5434,43,44,0,002,029,2,1,2,1,0,1,2,banana,scorpion,scorpion,1,1,1,0,0,0,scorpion,banana,scorpion,-150.0,130.0,259.807621135332,540.0,10.0,400.0,,,,0,,,,,,4150,,2015-06-15 15:04:36.395205,,0,0,2015-06-15 15:04:45.787406,
5435,44,42,0,002,029,1,1,1,1,1,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,scorpion,banana,scorpion,-150.0,130.0,-259.807621135331,,,,,,,1,,,,,,3675,,2015-06-15 15:04:49.939096,,0,0,2015-06-15 15:04:58.348119,
5436,45,40,0,002,029,1,1,1,1,0,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,scorpion,banana,scorpion,-150.0,130.0,-259.807621135331,,,,,,,1,,,,,,13256,,2015-06-15 15:05:02.616243,,0,0,2015-06-15 15:05:20.903065,
5445,54,57,0,002,027,1,1,1,1,0,1,2,scorpion,scorpion,banana,1,1,1,0,0,0,scorpion,scorpion,banana,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,,,,7343,,2015-06-15 15:07:59.413926,,0,0,2015-06-15 15:08:11.724342,
5446,55,58,0,002,035,2,1,2,1,0,2,1,banana,scorpion,banana,1,1,1,0,0,0,scorpion,banana,banana,-150.0,130.0,259.807621135332,300.0,130.0,-7.34788079488412e-14,,,,0,2,,,,,4810,,2015-06-15 15:08:15.968159,,0,0,2015-06-15 15:08:26.300330,
5448,57,60,0,002,030,2,1,2,1,0,1,2,banana,scorpion,scorpion,1,1,1,0,0,0,scorpion,banana,scorpion,-150.0,130.0,259.807621135332,540.0,10.0,400.0,,,,0,,,,,,6333,,2015-06-15 15:08:45.644737,,0,0,2015-06-15 15:08:57.289322,
5449,58,63,0,002,027,1,1,2,1,1,2,1,banana,banana,scorpion,1,1,1,0,0,0,scorpion,banana,banana,-150.0,130.0,259.807621135332,,,,,,,0,,,,,,7536,,2015-06-15 15:09:01.442697,,0,0,2015-06-15 15:09:14.079055,
5450,59,58,0,002,025,2,1,1,1,0,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,scorpion,banana,scorpion,-150.0,130.0,-259.807621135331,540.0,10.0,400.0,,,,1,,,,,,4475,,2015-06-15 15:09:18.235544,,0,0,2015-06-15 15:09:27.982190,
5452,61,49,0,002,025,1,1,2,1,1,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,scorpion,banana,scorpion,-150.0,130.0,-259.807621135331,,,,,,,1,,,,,,4323,,2015-06-15 15:09:47.418207,,0,0,2015-06-15 15:09:56.843433,
5453,62,55,0,002,028,1,1,2,1,0,2,1,banana,scorpion,banana,1,1,1,0,0,0,banana,scorpion,banana,-150.0,130.0,-259.807621135331,,,,,,,1,,,,,,6974,,2015-06-15 15:10:00.998824,,0,0,2015-06-15 15:10:13.182233,
5454,63,61,0,002,023,1,1,2,1,0,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,scorpion,scorpion,banana,-150.0,130.0,-259.807621135331,,,,,,,1,,,,,,8561,,2015-06-15 15:10:17.319671,,0,0,2015-06-15 15:10:31.194186,
5455,64,51,0,002,026,1,1,1,1,1,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,scorpion,scorpion,banana,-150.0,130.0,-259.807621135331,,,,,,,1,,,,,,11327,,2015-06-15 15:10:35.368520,,0,0,2015-06-15 15:10:51.320846,
5457,2,12,0,009,023,2,1,2,1,1,2,1,banana,scorpion,banana,1,1,1,0,0,0,banana,scorpion,banana,300.0,130.0,-7.34788079488412e-14,-150.0,130.0,259.807621135332,,,,2,0,,,,,10471,,2015-06-15 14:54:51.966329,,0,0,2015-06-15 14:55:07.683213,
5459,4,9,0,009,036,2,1,1,1,1,2,1,scorpion,banana,banana,1,1,1,0,0,0,scorpion,banana,banana,300.0,130.0,-7.34788079488412e-14,-150.0,130.0,-259.807621135331,,,,2,1,,,,,4396,,2015-06-15 14:55:25.866748,,0,0,2015-06-15 14:55:35.666853,
5460,5,14,0,009,035,2,1,1,1,0,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,scorpion,banana,scorpion,-150.0,130.0,-259.807621135331,540.0,10.0,400.0,,,,1,,,,,,5742,,2015-06-15 14:55:39.779714,,0,0,2015-06-15 14:55:51.152729,
5462,7,10,0,009,028,2,1,1,1,1,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,scorpion,scorpion,banana,-150.0,130.0,-259.807621135331,540.0,10.0,400.0,,,,1,,,,,,15650,,2015-06-15 14:56:21.606143,,0,0,2015-06-15 14:56:42.716883,
5463,8,1,0,009,036,2,1,1,1,0,2,1,scorpion,banana,banana,1,1,1,0,0,0,banana,banana,scorpion,300.0,130.0,-7.34788079488412e-14,-150.0,130.0,-259.807621135331,,,,2,1,,,,,5471,,2015-06-15 14:56:46.857682,,0,0,2015-06-15 14:56:57.924782,
5465,10,9,0,009,023,1,1,1,1,1,2,1,banana,scorpion,banana,1,1,1,0,0,0,banana,scorpion,banana,-150.0,130.0,-259.807621135331,,,,,,,1,,,,,,2258,,2015-06-15 14:57:15.755061,,0,0,2015-06-15 14:57:23.334058,
5466,11,2,0,009,034,1,1,2,1,0,2,1,banana,scorpion,banana,1,1,1,0,0,0,banana,scorpion,banana,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,,,,42715,,2015-06-15 14:57:27.471916,,0,0,2015-06-15 14:58:16.053204,
5467,12,5,0,009,028,1,1,1,1,0,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,banana,scorpion,scorpion,-150.0,130.0,-259.807621135331,,,,,,,1,,,,,,4469,,2015-06-15 14:58:20.206874,,0,0,2015-06-15 14:58:29.875710,
5469,14,13,0,009,032,2,1,2,1,0,2,1,scorpion,banana,banana,1,1,1,0,0,0,banana,banana,scorpion,-150.0,130.0,-259.807621135331,300.0,130.0,-7.34788079488412e-14,,,,1,2,,,,,5132,,2015-06-15 14:58:49.922264,,0,0,2015-06-15 14:59:00.563728,
5470,15,7,0,009,031,1,1,1,1,1,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,banana,scorpion,scorpion,-150.0,130.0,-259.807621135331,,,,,,,1,,,,,,3401,,2015-06-15 14:59:04.691750,,0,0,2015-06-15 14:59:13.413381,
5472,17,28,0,009,026,2,1,2,1,1,2,1,scorpion,banana,banana,1,1,1,0,0,0,banana,banana,scorpion,-150.0,130.0,-259.807621135331,300.0,130.0,-7.34788079488412e-14,,,,1,2,,,,,4380,,2015-06-15 14:59:29.871640,,0,0,2015-06-15 14:59:39.949709,
5473,18,23,0,009,026,2,1,1,1,1,2,1,banana,scorpion,banana,1,1,1,0,0,0,banana,banana,scorpion,-150.0,130.0,259.807621135332,300.0,130.0,-7.34788079488412e-14,,,,0,2,,,,,13710,,2015-06-15 14:59:44.096270,,0,0,2015-06-15 15:00:03.204090,
5474,19,17,0,009,023,1,1,1,1,0,2,1,banana,scorpion,banana,1,1,1,0,0,0,banana,scorpion,banana,-150.0,130.0,259.807621135332,,,,,,,0,,,,,,6119,,2015-06-15 15:00:07.310924,,0,0,2015-06-15 15:00:19.342094,
5476,21,31,0,009,030,1,1,1,1,1,2,1,scorpion,banana,banana,1,1,1,0,0,0,scorpion,banana,banana,-150.0,130.0,259.807621135332,,,,,,,0,,,,,,26297,,2015-06-15 15:00:37.525587,,0,0,2015-06-15 15:01:09.490475,
5477,22,27,0,009,028,1,1,1,1,0,1,2,scorpion,scorpion,banana,1,1,1,0,0,0,scorpion,scorpion,banana,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,,,,4400,,2015-06-15 15:01:13.598040,,0,0,2015-06-15 15:01:23.316454,
5478,23,23,0,009,029,2,1,2,1,0,2,1,banana,scorpion,banana,1,1,1,0,0,0,banana,scorpion,banana,300.0,130.0,-7.34788079488412e-14,-150.0,130.0,259.807621135332,,,,2,0,,,,,3702,,2015-06-15 15:01:27.460580,,0,0,2015-06-15 15:01:37.068862,
5480,25,23,0,009,027,2,1,2,1,0,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,banana,scorpion,scorpion,-150.0,130.0,-259.807621135331,540.0,10.0,400.0,,,,1,,,,,,3244,,2015-06-15 15:01:54.778815,,0,0,2015-06-15 15:02:03.723025,
5481,26,20,0,009,027,1,1,2,1,1,2,1,banana,banana,scorpion,1,1,1,0,0,0,banana,scorpion,banana,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,,,,4372,,2015-06-15 15:02:07.883648,,0,0,2015-06-15 15:02:17.656163,
5483,28,28,0,009,029,2,1,1,1,1,1,2,scorpion,scorpion,banana,1,1,1,0,0,0,scorpion,scorpion,banana,300.0,130.0,-7.34788079488412e-14,540.0,10.0,400.0,,,,2,,,,,,2364,,2015-06-15 15:02:36.021455,,0,0,2015-06-15 15:02:43.524683,
5438,47,45,0,002,028,1,1,1,1,0,2,1,banana,banana,scorpion,1,1,1,0,0,0,scorpion,banana,banana,-150.0,130.0,259.807621135332,,,,,,,0,,,,,,4846,,2015-06-15 15:05:36.829495,,0,0,2015-06-15 15:05:47.201233,
5439,48,43,0,002,030,1,1,2,1,1,2,1,banana,scorpion,banana,1,1,1,0,0,0,banana,banana,scorpion,-150.0,130.0,-259.807621135331,,,,,,,1,,,,,,26062,,2015-06-15 15:05:51.353556,,0,0,2015-06-15 15:06:22.415083,
5441,50,60,0,002,036,2,1,1,1,1,2,1,banana,scorpion,banana,1,1,1,0,0,0,scorpion,banana,banana,300.0,130.0,-7.34788079488412e-14,-150.0,130.0,259.807621135332,,,,2,0,,,,,8693,,2015-06-15 15:06:43.424174,,0,0,2015-06-15 15:06:57.064465,
5442,51,63,0,002,024,1,1,1,1,0,2,1,banana,scorpion,banana,1,1,1,0,0,0,banana,scorpion,banana,-150.0,130.0,259.807621135332,,,,,,,0,,,,,,6404,,2015-06-15 15:07:01.207527,,0,0,2015-06-15 15:07:13.096434,
5443,52,49,0,002,032,2,1,1,1,0,2,1,banana,scorpion,banana,1,1,1,0,0,0,banana,banana,scorpion,300.0,130.0,-7.34788079488412e-14,-150.0,130.0,259.807621135332,,,,0,2,,,,,8670,,2015-06-15 15:07:17.264640,,0,0,2015-06-15 15:07:31.204521,
6402,51,61,0,011,032,2,1,2,1,1,2,1,banana,banana,scorpion,1,1,1,0,0,0,scorpion,banana,banana,-150.0,130.0,259.807621135332,-150.0,130.0,-259.807621135331,,,,0,1,,,,,6608,,2015-06-15 15:07:39.683474,,0,0,2015-06-15 15:07:51.992949,
5504,49,53,0,009,036,1,1,2,1,0,1,2,scorpion,scorpion,banana,1,1,1,0,0,0,scorpion,scorpion,banana,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,,,,2512,,2015-06-15 15:07:57.319473,,0,0,2015-06-15 15:08:05.385714,
5506,51,60,0,009,034,2,1,1,1,0,1,2,scorpion,banana,scorpion,1,1,1,0,0,0,banana,scorpion,scorpion,-150.0,130.0,-259.807621135331,540.0,10.0,400.0,,,,1,,,,,,2644,,2015-06-15 15:08:22.040055,,0,0,2015-06-15 15:08:30.192220,
