,id,n_tokens,n_axes,show_shadow,n_bananas,n_scorpions,response_time_sender,response_time_interpreter,signal,world,opened
215,5392,1,2,0,1,2,4646,4421,"0, 1, 0","0, 1, 0","0, 1, 0"
792,5393,1,2,1,1,2,3180,8923,"0, 1, 0","0, 1, 0","0, 1, 0"
67,5394,2,1,0,1,2,9143,5162,"0, 1, 0","0, 1, 0","0, 1, 0"
897,5395,2,2,0,1,2,2601,9960,"0, 0, 1","0, 0, 1","0, 0, 1"
798,5396,2,2,0,2,1,6003,7253,"0, 1, 1","0, 1, 1","0, 1, 1"
732,5397,1,1,1,2,1,6381,2816,"0, 0, 1","0, 1, 1","0, 0, 1"
791,5398,1,1,0,2,1,3017,4265,"0, 0, 1","0, 1, 1","0, 0, 1"
794,5399,2,2,1,2,1,12321,3760,"0, 1, 1","0, 1, 1","0, 1, 1"
761,5400,1,1,1,1,2,4251,4054,"0, 0, 1","0, 0, 1","0, 0, 1"
795,5401,1,2,0,2,1,11532,7918,"1, 0, 0","1, 1, 0","0, 1, 1"
932,5402,2,1,1,1,2,3467,3869,"1, 0, 0","1, 0, 0","1, 0, 0"
797,5403,1,2,1,2,1,2987,11855,"1, 0, 0","1, 1, 0","1, 1, 0"
615,5404,2,2,1,1,2,3196,4032,"0, 1, 0","0, 1, 0","0, 1, 0"
796,5405,1,1,0,1,2,5566,3685,"1, 0, 0","1, 0, 0","1, 0, 0"
793,5406,2,1,0,2,1,4697,3229,"1, 1, 0","1, 1, 0","1, 0, 0"
118,5407,2,1,1,2,1,6270,6000,"1, 0, 1","1, 0, 1","1, 0, 0"
129,5408,1,2,1,1,2,3264,7345,"0, 0, 1","0, 0, 1","0, 0, 1"
130,5409,2,2,0,1,2,7010,3972,"0, 1, 0","0, 1, 0","0, 1, 0"
159,5410,1,1,1,2,1,4371,5612,"0, 0, 1","1, 0, 1","0, 0, 1"
95,5411,2,2,1,2,1,4173,14938,"0, 1, 1","0, 1, 1","0, 1, 1"
153,5412,1,2,0,2,1,2887,4193,"0, 0, 1","0, 1, 1","0, 0, 1"
158,5413,1,2,1,2,1,3108,5056,"1, 0, 0","1, 0, 1","0, 1, 0"
154,5414,1,1,0,1,2,3207,4131,"0, 0, 1","0, 0, 1","0, 0, 1"
655,5415,2,1,1,2,1,4668,37513,"0, 1, 1","0, 1, 1","0, 1, 0"
160,5416,1,2,0,1,2,4022,3231,"1, 0, 0","1, 0, 0","1, 0, 0"
152,5417,2,1,0,1,2,2569,2999,"0, 0, 1","0, 0, 1","0, 0, 1"
157,5418,2,2,0,2,1,6671,9204,"0, 1, 1","0, 1, 1","0, 1, 1"
634,5419,1,1,0,2,1,2863,1646,"1, 0, 0","1, 1, 0","1, 0, 0"
146,5420,1,1,1,1,2,3049,2587,"0, 1, 0","0, 1, 0","0, 1, 0"
943,5421,2,1,1,1,2,5791,2726,"1, 0, 0","1, 0, 0","1, 0, 0"
776,5422,2,2,1,1,2,3542,4642,"1, 0, 0","1, 0, 0","1, 0, 0"
155,5423,2,1,0,2,1,13092,6276,"0, 1, 1","0, 1, 1","0, 0, 1"
164,5424,2,2,0,2,1,6030,1749,"1, 1, 0","1, 1, 0","0, 0, 0"
813,5425,1,2,0,2,1,11916,6028,"0, 0, 1","1, 0, 1","0, 0, 1"
639,5426,2,1,0,2,1,9743,7830,"1, 0, 1","1, 0, 1","1, 0, 0"
809,5427,2,1,0,1,2,7943,4102,"1, 0, 0","1, 0, 0","1, 0, 0"
954,5428,2,2,1,2,1,8642,5514,"1, 1, 0","1, 1, 0","0, 0, 1"
669,5429,2,2,1,1,2,12724,3900,"1, 0, 0","1, 0, 0","1, 0, 0"
156,5430,1,2,0,1,2,2958,2130,"1, 0, 0","1, 0, 0","1, 0, 0"
167,5431,1,1,1,2,1,8609,3583,"0, 0, 1","0, 1, 1","1, 0, 0"
162,5432,2,1,1,1,2,5591,3932,"0, 1, 0","0, 1, 0","0, 1, 0"
912,5433,2,1,1,2,1,4442,7045,"0, 1, 1","0, 1, 1","0, 1, 0"
161,5434,2,2,0,1,2,4150,2357,"1, 0, 0","1, 0, 0","1, 0, 0"
166,5435,1,1,1,1,2,3675,3810,"0, 1, 0","0, 1, 0","0, 1, 0"
163,5436,1,1,0,1,2,13256,2654,"0, 1, 0","0, 1, 0","0, 1, 0"
758,5437,1,2,1,1,2,3031,4591,"1, 0, 0","1, 0, 0","1, 0, 0"
193,5438,1,1,0,2,1,4846,4416,"1, 0, 0","1, 1, 0","1, 0, 0"
189,5439,1,2,1,2,1,26062,2126,"0, 1, 0","1, 0, 1","0, 1, 0"
828,5440,2,2,1,2,1,7419,5665,"0, 1, 1","0, 1, 1","0, 1, 1"
194,5441,2,1,1,2,1,8693,2732,"1, 0, 1","1, 0, 1","1, 0, 0"
200,5442,1,1,0,2,1,6404,2972,"1, 0, 0","1, 0, 1","1, 0, 0"
198,5443,2,1,0,2,1,8670,6545,"1, 0, 1","1, 0, 1","1, 0, 0"
233,5444,1,1,1,2,1,14577,2192,"0, 0, 1","0, 1, 1","0, 0, 1"
165,5445,1,1,0,1,2,7343,3628,"0, 0, 1","0, 0, 1","0, 0, 1"
