id,n_tokens,n_axes,show_imprints,n_bananas,n_scorpions,box0_content,box1_content,box2_content,token0_box,token1_box,axe0_box,axe1_box,response_time_sender,response_time_interpreter
6096,2,1,0,2,1,scorpion,banana,banana,0,1,1,NA,50059,6611
6189,1,1,1,2,1,scorpion,banana,banana,0,NA,1,NA,10370,7929
6032,1,1,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,10452,3690
6190,2,2,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,4549,3157
6123,2,1,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,3370,3534
6122,1,1,0,2,1,banana,scorpion,banana,0,NA,0,NA,2674,4035
6192,1,2,1,2,1,banana,banana,scorpion,2,NA,2,NA,2624,4563
6127,2,2,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,9621,3421
6126,2,2,1,2,1,banana,banana,scorpion,0,1,0,1,4433,5614
6120,2,1,0,2,1,banana,banana,scorpion,0,NA,0,NA,6559,2852
6119,1,2,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,2267,2283
6124,2,1,1,2,1,banana,scorpion,banana,0,2,2,NA,7612,5575
6193,1,1,0,2,1,banana,scorpion,banana,0,NA,0,NA,4280,4364
6195,1,1,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,2731,9034
6138,2,1,1,1,2,scorpion,banana,scorpion,2,0,1,NA,4177,3301
6139,1,2,1,2,1,banana,banana,scorpion,2,NA,0,NA,3259,3770
6136,1,1,1,1,2,scorpion,scorpion,banana,2,NA,2,NA,4339,2554
6141,1,1,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,2633,4511
6137,1,2,0,2,1,scorpion,banana,banana,2,NA,2,NA,2402,3543
6134,1,1,0,2,1,banana,scorpion,banana,2,NA,2,NA,3975,3422
6133,1,1,1,2,1,scorpion,banana,banana,0,NA,0,NA,11778,4156
6131,2,2,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,3388,4547
6130,2,1,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,3888,2783
6194,1,2,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,4980,4527
6142,2,1,0,2,1,scorpion,banana,banana,0,2,0,NA,9252,4359
6197,2,2,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,6361,3873
6153,1,2,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,3008,2395
6208,1,1,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,2503,11129
6159,1,2,0,2,1,banana,scorpion,banana,2,NA,2,NA,6204,3670
5968,1,1,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,6136,3655
6290,1,2,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,15718,5086
5713,1,2,0,2,1,banana,scorpion,banana,0,NA,0,NA,68347,3268
6294,2,1,1,2,1,scorpion,banana,banana,2,1,1,NA,5984,9347
6160,2,1,1,2,1,banana,banana,scorpion,0,1,0,NA,17046,4731
5900,1,2,0,2,1,banana,banana,scorpion,0,NA,0,NA,5799,2286
6292,1,1,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,4989,3637
6201,1,2,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,4946,2799
6200,1,1,1,2,1,banana,banana,scorpion,2,NA,0,NA,2934,8245
6202,2,2,1,1,2,scorpion,scorpion,banana,2,NA,2,NA,12450,2142
6217,2,2,0,2,1,banana,scorpion,banana,0,2,2,0,7905,2472
6199,2,1,1,1,2,scorpion,banana,scorpion,2,0,1,NA,4982,3566
6089,2,1,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,2997,3986
6214,1,2,1,2,1,scorpion,banana,banana,0,NA,2,NA,4791,6412
6223,2,2,1,2,1,banana,scorpion,banana,2,0,0,2,6224,5706
6284,2,2,1,2,1,banana,banana,scorpion,0,1,0,1,5661,12219
6222,2,1,1,2,1,scorpion,banana,banana,2,1,1,NA,4853,3043
5710,2,1,1,1,2,banana,scorpion,scorpion,1,2,0,NA,4469,3673
6215,2,2,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,16963,4859
6212,2,1,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,3093,3781
6219,1,1,1,2,1,banana,scorpion,banana,1,NA,2,NA,2566,4590
6211,1,2,1,1,2,scorpion,scorpion,banana,2,NA,2,NA,2668,2848
6218,1,1,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,7808,2214
5889,1,2,1,2,1,banana,scorpion,banana,0,NA,0,NA,4585,3571
5761,1,1,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,3211,2507
6094,2,2,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,3579,2346
5447,2,2,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,6306,2495
6221,1,1,0,2,1,scorpion,banana,banana,1,NA,1,NA,3737,2726
6277,2,2,0,2,1,banana,banana,scorpion,1,0,0,1,6128,5480
5776,2,2,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,4466,4875
6298,2,2,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,8039,3721
6295,2,1,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,3511,10009
6302,1,2,0,2,1,banana,scorpion,banana,0,NA,0,NA,20222,6949
5461,1,1,0,2,1,scorpion,banana,banana,1,NA,1,NA,16389,2581
6296,1,1,1,2,1,scorpion,banana,banana,0,NA,0,NA,19768,3492
6316,1,1,1,2,1,banana,banana,scorpion,0,NA,0,NA,4012,6519
6301,2,1,0,2,1,banana,scorpion,banana,2,0,1,NA,5594,14186
5394,2,1,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,9143,5162
6312,1,2,1,2,1,scorpion,banana,banana,2,NA,1,0,2589,8493
6317,2,2,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,3024,3719
6318,2,1,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,3747,3599
6304,1,1,0,2,1,banana,scorpion,banana,0,NA,0,NA,3929,2909
6314,1,1,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,2549,5256
6268,2,1,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,3834,5260
6313,1,2,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,3727,2989
6305,1,1,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,2732,4175
6270,1,1,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,3564,5345
6271,1,1,0,2,1,banana,scorpion,banana,2,NA,2,NA,3723,2251
6266,2,2,1,2,1,banana,banana,scorpion,0,1,0,1,6070,5280
6264,2,2,0,2,1,banana,scorpion,banana,2,0,0,2,6135,7629
6262,1,2,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,3866,5643
6272,2,1,0,2,1,banana,banana,scorpion,1,0,2,NA,7639,1889
6263,1,2,1,2,1,banana,banana,scorpion,0,NA,1,2,3544,9563
6267,1,2,0,1,2,scorpion,banana,scorpion,1,NA,2,0,3397,5958
6321,2,1,1,2,1,banana,banana,scorpion,1,0,0,NA,7542,3162
5707,1,2,1,1,2,scorpion,scorpion,banana,2,NA,2,NA,5360,8695
6220,2,1,0,2,1,banana,banana,scorpion,0,NA,0,NA,4614,2273
6156,1,1,1,2,1,banana,banana,scorpion,2,NA,1,NA,2247,4282
5585,2,2,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,11529,18096
5982,2,1,1,2,1,banana,banana,scorpion,0,1,0,NA,9692,3463
5650,1,2,0,1,2,scorpion,scorpion,banana,2,NA,1,0,12372,10117
5522,1,1,0,2,1,banana,banana,scorpion,0,NA,0,NA,2975,2179
6300,2,1,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,3654,2869
6034,2,2,1,2,1,banana,banana,scorpion,0,1,1,0,9154,5906
5842,2,2,0,1,2,scorpion,scorpion,banana,0,1,0,1,51071,8856
5411,2,2,1,2,1,scorpion,banana,banana,2,1,2,1,4173,14938
6353,2,2,0,2,1,banana,banana,scorpion,0,1,0,1,9307,14576
6121,2,1,1,1,2,scorpion,banana,scorpion,0,2,1,NA,13116,8241
5606,2,1,1,1,2,banana,scorpion,scorpion,2,1,0,NA,12304,6637
5536,2,1,1,2,1,banana,scorpion,banana,2,0,0,NA,3540,6974
6381,1,2,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,7420,3830
6387,1,2,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,5760,11316
6398,2,2,1,2,1,scorpion,banana,banana,1,2,2,1,8587,5680
6399,2,2,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,3432,2155
6391,1,2,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,3081,2596
6394,1,1,0,2,1,banana,banana,scorpion,0,NA,0,NA,4635,3615
6388,1,1,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,4431,4728
6395,2,1,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,6622,3288
6385,1,1,1,1,2,scorpion,scorpion,banana,2,NA,2,NA,9603,3454
6389,1,2,0,2,1,banana,banana,scorpion,0,NA,NA,NA,8439,1762
5509,1,1,1,2,1,scorpion,banana,banana,0,NA,0,NA,21542,3286
6392,2,1,0,2,1,scorpion,banana,banana,2,1,0,NA,6029,4139
5581,2,1,0,2,1,banana,scorpion,banana,2,0,0,NA,3728,3461
5892,2,2,1,1,2,scorpion,scorpion,banana,2,NA,2,NA,8564,4195
5769,2,1,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,2842,8930
6403,2,2,0,2,1,banana,scorpion,banana,2,0,0,2,4805,4703
6404,1,2,1,1,2,scorpion,scorpion,banana,2,NA,2,NA,3831,4539
5975,2,2,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,15505,10251
5407,2,1,1,2,1,banana,scorpion,banana,2,0,0,NA,6270,6000
6042,1,2,0,1,2,scorpion,banana,scorpion,1,NA,1,2,4869,8845
6363,2,2,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,2864,2983
6046,1,1,1,2,1,banana,scorpion,banana,0,NA,0,NA,4088,6262
5589,1,2,1,2,1,banana,scorpion,banana,2,NA,2,NA,20033,31497
5714,2,1,0,2,1,scorpion,banana,banana,1,2,2,NA,28827,5912
6233,2,2,1,1,2,scorpion,scorpion,banana,2,NA,2,NA,3636,14139
6297,1,2,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,20844,3255
5784,2,1,0,2,1,scorpion,banana,banana,2,1,2,NA,5534,3766
6240,1,1,1,2,1,banana,scorpion,banana,2,NA,0,NA,3865,3730
5915,1,2,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,4408,8047
5408,1,2,1,1,2,scorpion,scorpion,banana,2,NA,2,NA,3264,7345
5409,2,2,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,7010,3972
5609,1,1,1,2,1,scorpion,banana,banana,2,NA,1,NA,5199,14423
6255,2,1,1,1,2,scorpion,scorpion,banana,2,NA,2,NA,3759,4610
5539,2,2,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,5662,2810
5989,1,1,1,2,1,banana,banana,scorpion,0,NA,1,NA,3843,3810
5668,1,1,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,3672,3835
5740,2,1,1,1,2,scorpion,scorpion,banana,2,NA,2,NA,9130,5784
6114,2,2,0,2,1,scorpion,banana,banana,1,2,1,2,6740,6435
5681,2,2,1,2,1,banana,banana,scorpion,1,0,0,1,6920,11442
6064,1,1,0,2,1,scorpion,banana,banana,2,NA,2,NA,11624,3956
5886,2,2,0,1,2,scorpion,banana,scorpion,1,NA,2,0,14689,5787
5685,1,1,0,2,1,banana,scorpion,banana,0,NA,0,NA,2963,3553
5641,2,1,0,2,1,scorpion,banana,banana,1,NA,1,NA,4594,9189
5765,1,2,0,2,1,banana,scorpion,banana,0,NA,0,NA,6223,5318
6275,1,1,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,4640,3891
6209,1,2,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,3249,4859
5420,1,1,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,3049,2587
5466,1,2,0,2,1,banana,scorpion,banana,2,NA,2,NA,42715,5614
5459,2,1,1,2,1,scorpion,banana,banana,2,1,1,NA,4396,8636
5457,2,2,1,2,1,banana,scorpion,banana,2,0,0,2,10471,9260
5462,2,1,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,15650,7478
5465,1,1,1,2,1,banana,scorpion,banana,1,NA,1,NA,2258,9588
5417,2,1,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,2569,2999
5412,1,2,0,2,1,scorpion,banana,banana,2,NA,2,NA,2887,4193
5414,1,1,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,3207,4131
5423,2,1,0,2,1,scorpion,banana,banana,2,1,2,NA,13092,6276
5430,1,2,0,1,2,banana,scorpion,scorpion,0,NA,0,NA,2958,2130
5418,2,2,0,2,1,scorpion,banana,banana,2,1,1,2,6671,9204
5413,1,2,1,2,1,banana,scorpion,banana,0,NA,1,NA,3108,5056
5410,1,1,1,2,1,banana,scorpion,banana,2,NA,2,NA,4371,5612
5416,1,2,0,1,2,banana,scorpion,scorpion,0,NA,0,NA,4022,3231
5434,2,2,0,1,2,banana,scorpion,scorpion,0,NA,0,NA,4150,2357
5432,2,1,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,5591,3932
5436,1,1,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,13256,2654
